group,cat,file,author_surname,author_name,title,publ_in,url,publ_part,publ_place,publisher,year,pages,length,alt_orth,errors,comments,author_surname_1,author_name_1,author_surname_2,author_name_2,author_surname_3,author_name_3,author_surname_4,author_name_4,author_surname_5,author_name_5,author_surname_6,author_name_6,author_surname_7,author_name_7,author_surname_8,author_name_8,author_surname_9,author_name_9,author_surname_10,author_name_10
so-so,A,A_Bahnenko_Smittieva_plutanyna_-_bomba_upovilnenoi_dii_2020_June22.txt,Багненко,Дмитро,Сміттєва плутанина - бомба уповільненої дії,"Газета ""Вгору""",https://vgoru.org/index.php/rozsliduvannya/nashi-rozsliduvannya/item/55019-smittieva-plutanyna-bomba-upovilnenoi-dii,,,,2020,,632,0,переробку - перероблювання; у відповідності до - відповідно до; виконуючої - виконувачки; відправку - відправлення,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Biznes_Dudko_Tekhnolohiyi_shcho_nahoduyut_liudstvo_2018.txt,Дудко,Валентина,"Технології, що нагодують людство",Бізнес,https://business.ua/biznes/item/3078-tekhnologiji-shcho-nagoduyut-lyudstvo,,Київ,,2018,,876,0," їх продукт - їхній продукт; вологи і у - вологи й у; інтелектуальну обробку даних - інтелектуальне оброблення даних; обробки ланів - оброблення ланів; Найбільшою популярністю продукція eFarmer користується - Найбільшу популярність продукція eFarmer має; плани і у - плани й у; розробці IT-рішень - розробленні IT-рішень; є і ідея - є й ідея ",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Biznes_Morozovskyi_Osoblyvosti_natsionalnoyi_vidpovidalnosti_2018.txt,Морозовський,Андрій,Особливості національної відповідальності,Бізнес,https://business.ua/biznes/item/4200-osoblyvosti-natsionalnoi-vidpovidalnosti,,Київ,,2018,,546,0,в сфері - у сфері,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Biznes_Osobystist_investytsiynoho_rynku_2018.txt,,,Особистість інвестиційного ринку,Бізнес,https://business.ua/biznes/item/3321-osobistist-investitsijnogo-rinku,,Київ,,2018,,273,0,,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Biznes_Vasylyeva_Shcho_bude_z_ukrayinskoyu_zemleyu_Pole_variantiv_2018.txt,Васильєва,Неля,Що буде з українською землею? Поле варіантів,Бізнес,https://business.ua/vlast/item/4254-shcho-bude-z-ukrainskoiu-zemleiu-pole-variantiv,,Київ,,2018,,715,0,в сфері - у сфері; в свою чергу - своєю чергою,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_BukInfo_Militsiya_Bukovyny_vidkryla_kryminalnu_spravu_proty_dyrektora_telekanalu_TVA_Sarafinchana_2015_June22.txt,,,"Міліція Буковини відкрила кримінальну справу проти директора телеканалу ""ТВА"" Сарафінчана",БукІнфо,http://bukinfo.com.ua/show/news?lid=60566,,,,2015,,475,0,"вирішення питань-розв'язання питань;а-,а",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Bukovynska_pravda_Hryhorashchuk_Lyzhi_sany_kovzany_use_tse_dostupno_ta_realno_2011_June22.txt,Григоращук,Ірина,"Лижі, сани, ковзани - усе це доступно та реально",Буковинська правда,http://bukpravda.cv.ua/statti/rozsliduvannya/item/4511-%D0%BB%D0%B8%D0%B6%D1%96-%D1%81%D0%B0%D0%BD%D0%B8-%D0%BA%D0%BE%D0%B2%D0%B7%D0%B0%D0%BD%D0%B8-%D1%82%D0%B0-%D1%80%D0%BE%D0%BB%D0%B8%D0%BA%D0%B8-%E2%80%93-%D1%83%D1%81%D0%B5-%D1%86%D0%B5-%D0%B4%D0%BE%D1%81%D1%82%D1%83%D0%BF%D0%BD%D0%BE-%D1%82%D0%B0-%D1%80%D0%B5%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE.html#.X4tOQdAzZPZ,,,,2011,,980,0,підйомників-підіймачів;в перший раз-вперше,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Bukovynska_pravda_Myhalyuk_Pidmochena_reputatsiya_2011_June22.txt,Мигалюк,Радомир,Підмочена репутація,Буковинська правда,http://bukpravda.cv.ua/statti/polityka/item/6954-%D0%BF%D1%96%D0%B4%D0%BC%D0%BE%D1%87%D0%B5%D0%BD%D0%B0-%D1%80%D0%B5%D0%BF%D1%83%D1%82%D0%B0%D1%86%D1%96%D1%8F.html#.X5AMb9AzZPY,,,,2011,,1240,1,спасіння-рятунок;більше року-понад рік;царюючого-царя;і-та;облюбували-уподобали;млн.-млн;неприглядному-нечепурному,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Bukovynska_pravda_Myhalyuk_Pro_chernivetskyy_haz_bez_prykras_i_obraz_2012_June22.txt,Мигалюк,Вячеслав,Про чернівецький газ без прикрас і образ,Буковинська правда,http://bukpravda.cv.ua/statti/rozsliduvannya/item/574-%D0%BF%D1%80%D0%BE-%D1%87%D0%B5%D1%80%D0%BD%D1%96%D0%B2%D0%B5%D1%86%D1%8C%D0%BA%D0%B8%D0%B9-%D0%B3%D0%B0%D0%B7-%D0%B1%D0%B5%D0%B7-%D0%BF%D1%80%D0%B8%D0%BA%D1%80%D0%B0%D1%81-%D1%96-%D0%BE%D0%B1%D1%80%D0%B0%D0%B7.html#.X4xTVNAzZPY,,,,2012,,2023,0,"і-та;восторжествувала-затріумфувала;млн.-млн;більше року-понад рік;працюючих-робітників;зворотньому-зворотному;на перший погляд-на перший погляд,;залайожене-залагоджене",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Bukovynska_pravda_Myhalyuk_Vashkiv_misto_chy_selo_(Vyzhnytskyy_rayon)_2012_June22.txt,Мигалюк,Радомир,Вашків: місто чи село (Вижницький район),Буковинська правда,http://bukpravda.cv.ua/statti/rehiony/item/498-%D0%B2%D0%B0%D1%88%D0%BA%D1%96%D0%B2%D1%86%D1%96-%D0%BC%D1%96%D1%81%D1%82%D0%BE-%D1%87%D0%B8-%D1%81%D0%B5%D0%BB%D0%BE-%D0%B2%D0%B8%D0%B6%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9-%D1%80%D0%B0%D0%B9%D0%BE%D0%BD.html#.X4tNX9AzZPZ,,,,2012,,1473,1,вишку-вежу;задіяна-залучена;увіковічнити-увічнити;пазурями-пазурами;шо-що;і-та,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_ChaRivne_info_Nazarchuk_U_Rivnomu_proishlo_unikalne_hrandiozne_tantsiuvalne_shou_pam`iati_Maikla_Dzheksona_2013_June22.txt,Назарчук,Марина,У Рівному пройшло унікальне грандіозне танцювальне шоу пам`яті Майкла Джексона,ЧаРівне.інфо,http://charivne.info/news/u-rivnomu-proyshlo-unikalne-grandiozne-tantsyuvalne-shou-pamyati-maykla-djeksona,,Рівне,,2013,,786,0,"Гран-Прі - Гран-прі; Більш, ніж - Більш ніж",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Chas_Chernivetska_miska_rada_stala_bilsh_dostupnoyu_i_prozoroyu_2015_June22.txt,,,Чернівецька міська рада стала більш доступною і прозорою,Час,https://chas.cv.ua/inform/26033-chernvecka-mska-rada-stala-blsh-dostupnoyu-prozoroyu.html,,,,2015,,254,0,бажаючі-охочі;головуючого-голови,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Chernivetskyy_promin_Chernivetskyy_aeroport_otrymav_kerivnyka_2015_June22.txt,,,Чернівецький аеропорт отримав керівника,Чернівецький промінь,"https://promin.cv.ua/2015/08/26/chernivetskyi-aeroport-otrymav-kerivnyka.html	",,,,2015,,232,0,більше року-понад рік;зарубіжним партнерами-зарубіжними партнерами,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Chornomorski_novyny_Henyk_NATO_bez_roboty_ne_zalyshytsia_2019_June22.txt,Геник,Володимир,НАТО без роботи не залишиться,Чорноморські новини,http://chornomorka.com/archive/22057/a-12521.html/,№ 038 (22057) субота 18 травня 2019 року,Одеса,,2019,,1628,0,фотозйомки - фотографування;що середньому - що в середньому ; охарактеризував - схарактеризував; у нагоді - у пригоді; привести країну у відповідність - увідповіднити країну,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Chornomorski_novyny_Ivashchenko_Patriarkh_Sviatoslav_My_idemo_do_svoikh_2011_June22.txt,Іващенко,Людмила,Патріарх Святослав: «Ми ідемо до своїх!»,Чорноморські новини,http://chornomorka.com/archive/21259/a-111.html/," № 099 (21259) четвер 15 грудня 2011 року",Одеса,,2011,,1673,0,"іудеї - юдеї; місцезнаходження - локацію; то, насамперед, - то насамперед",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Chornomorski_novyny_Lishchenko_Martyniuk_Kinets_kripatstva_v_Sarazhyntsi_2012_June22.txt,,,Кінець кріпацтва в Саражинці,Чорноморські новини,http://chornomorka.com/archive/21305/a-880.html/,№ 041 (21305) субота 26 травня 2012 року,Одеса,,2012,,583,0,більше восьми - більш ніж вісім; задавали запитання - запитували; більше 40 чоловік - більш як 40 осіб; на сьогоднішній день - на сьогодні,,Ліщенко,Віктор,Мартинюк,Сергій,,,,,,,,,,,,,,,,
so-so,A,A_Chornomorski_novyny_Mudra_Z_chuzhoho_rozumu_2017_June22.txt,Мудра,Діана,З чужого розуму,Чорноморські новини,http://chornomorka.com/archive/21812/a-9024.html/,№ 021 (21812) четвер 2 березня 2017 року,Одеса,,2017,,747,0,"До того ж, проект - До того ж проект; відмінити - скасувати; Головуючий - Голова",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Chornomorski_novyny_Ukraina_pochynaietsia_z_nas_2015_June22.txt,,,Україна починається з нас,Чорноморські новини,http://chornomorka.com/archive/21665/a-6604.html/,№ 093 (21665) субота 21 листопада 2015 року,Одеса,,2015,,519,0,"роздруковувати - видруковувати; работу - роботу; але, водночас, - але водночас",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Depo.ua_18_vydatnykh_ukrayinok suchasnosti_Antolohiya_Depo_ua_2020_June22.txt,,,18 видатних українок сучасності: Антологія Depo.ua,Depo.ua,https://www.depo.ua/ukr/life/18-vidatnih-ukrayinok-suchasnosti-antologiya-depo-ua-20180307738723,,Київ,,2020,,2029,0,"статтей-статей; допомогає-допомагає; доктор-докторка; палаючий-що палає; різьб’ярів-різьбярів; тенисистка-тенісистка; більше двох-понад дві; хіміотерапія-хімієтерапія; роки-року; переключилася-перемикнулася; додому, - розповідає – додому, — розповідає; пакетиків - це – пакетиків — це",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Depo.ua_Doslidnytsya_kosmosu_Kovalʹchuk_Skorokhod_Pro_planetariy_zi_smittyevykh_paketiv_ta_provisnyky_zemletrusiv_2018_June22.txt,Черниш,Ольга,Дослідниця космосу Ковальчук-Скороход. Про планетарій зі сміттєвих пакетів та провісники землетрусів,Depo.ua,https://ukrop.depo.ua/ukr/molodoy_ukrop/doslidnicya-kosmosu-tetyana-kovalchuk-skorohod-pro-provisniki-zemletrusiv-sposib-dotorknutisya-do-zirok-i-prigodi-na-polskomu-kordoni-20180112707946,,Київ,,2018,,1476,0,падаючі-що падають; ньому-йому; чоловік-осіб; якщо б-якби,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Depo.ua_istoriya_na_tariltsi_retsept_panakoty_2020_June22.txt,,,історія на тарілці: рецепт панакоти,Depo.ua,https://www.depo.ua/ukr/life/istoriya-na-tariltsi-retsept-panakoti-202010091227478,,Київ,,2020,,562,0,інгрідієнт-інгредієнт; за смаком-на смак; прогавити-проґавити; ємність-місткість; у той же час-водночас; формам-формах,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Detector.media_Anastasieva_Yak_proyshov_pershyi_patrotychnyi_pitchyng_2018_June22.txt,Анастасьєва,Олеся,Як пройшов перший патріотичний пітчинг,Детектор медіа,https://detector.media/production/article/139778/2018-07-31-yak-proishov-pershii-patriotichnii-pitching/,,Київ,,2018,,921,0,"відсутня_інформації – відсутня_інформація; водночас, - водночас; в 2019–2022 - у 2019–2022; в 2017 - у 2017",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Detector.media_Zubchenko_Try_problemy_ukrainskich_kryminalnych_novyn_2018_June22.txt,Зубченко,Ярослав,Три проблеми українських кримінальних теленовин,Детектор медіа,https://detector.media/revyu-monitoringiv/article/165551/2018-08-15-tri-problemi-ukrainskikh-kriminalnikh-telenovin/,,Київ,,2018,,1064,0,і – й; би – б; із – з,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Dzerkalo_Kolomyyi_Savchuk_Ukrayinski_elity_Kolomyyi_2016_June22.txt,Савчук,Микола,Українські еліти Коломиї (1848 – 1991).Частина 3,Дзеркало Коломиї,https://dzerkalo.media/news/ukrainski-eliti-kolomii-1848-1991-chastina-3,3,Коломия,,2016,,1949,1," Етноґрафічна – Етнографічна; проекту – проєкту; ролю – роль; з – із; священики – священники; дириґував – диригував; і – й; пропаґував – пропагував; редаґує – редагує; обвинувачувачі – звинувачувачі/ ті, що звинувачують; маґістрату - магістрату ",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Ekonomichna_Pravda_Chyzhykov_Era_Podatkovoyi_spravedlyvosti_2019(4)_June22.txt,Чижиков,Володимир,Ера податкової справедливості,epravda.com.ua,https://www.epravda.com.ua/columns/2019/10/29/653048/,,,,2019,,190,0,вирішую проблеми – розв’язую проблеми,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Ekonomichna_Pravda_Kuzmenko_Yak_i_dlya_choho_inventaryzuvaty_lisy_2019(2)_June22.txt,Кузьменко,Євген,Як і для чого інвентаризувати ліси,epravda.com.ua,https://www.epravda.com.ua/columns/2019/11/21/653998/,,,,2019,,427,0,заготовки – заготівлі; відображати – показувати; достовірних - вірогідних,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Ekonomichna_Pravda_Polyvka_Podatky_dlya_kryptovaliut_varto_chy_ni_2019(1)_June22.txt,"Поливка ",Назар,Податки для криптовалютників: варто чи ні?,epravda.com.ua,https://www.epravda.com.ua/columns/2019/11/22/654034/,,,,2019,,746,0,здійснююче – що здійснює; біткоін – біткоїн,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Ekonomichna_Pravda_Poturayev_Zakopaty_komunizm_u_zemlyu_2019(3)_June22.txt,Потураєв,Микита,Закопати комунізм у землю,epravda.com.ua,https://www.epravda.com.ua/columns/2019/11/15/653751/,,,,2019,,648,0,,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Ekonomichna_pravda_Kachura_Ukraina_ne_venesuela_rynok_zemli_potriben_davaite_obhovoriyvaty_zasterezhennia_2019_June22.txt,Качура,Олександр,"Україна – не Венесуела. Ринок землі потрібен, давайте обговорювати застереження",Економічна правда,https://www.epravda.com.ua/columns/2019/12/2/654342/,,Київ,,2019,,719,0,законопроектів - законопроєктів; більше того - ще й надто; переробку - перероблювання; давайте вносити - вносьмо,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Facty_Zaporizhzhya_Televeduha_iz_zaporizhzhya_Yanina_Sokolova_2019_June22.txt,,,Телеведуча із Запоріжжя Яніна Соколова розповіла про рідне місто,Факти Запоріжжя,https://zp-fakty.net.ua/society/televeducha-iz-zaporijjya-yanina-sokolova-rozpovila-pro-ridne-misto,,Запоріжжя,,2019,,175,0,,Костенко - Костенком,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Firtka_Prohramisty_Zakhodu_Ukrayiny_pozmahayutsya_mizh_soboyu_2013.txt,,,Програмісти Заходу України позмагаються між собою у професійній вправності в Івано-Франківську,Агенція новин Фirtka.if.ua,http://firtka.if.ua/?action=show&id=43930,,Івано-Франківськ,,2013,,386,0,"задумки - задуми; IT події - ІТ-події; IT спеціалісти - IT-спеціалісти; виділеного часу - відведеного часу; складають основу - становлять основу; дефіцит складе - дефіцит становитиме; пов’язано, насамперед, з - пов’язано насамперед з; вищого класу - найвищого класу",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Gazeta.ua_Dykaliuk_Elektroenerhia_podorozhchaye_2019(1)_June22.txt,Дикалюк,Маргаріта,"Електроенергія подорожчає: експерти пояснили, чому тарифи можуть зрости",Gazeta.ua,https://gazeta.ua/articles/economics/_navischo-derzhava-vede-movu-pro-reprivatizaciyu-yakscho-u-neyi-nemaye-na-ce-groshej/940452,,,,2019,,408,0,,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Gazeta.ua_Navishcho_derzhava_vede_movu_pro_repryvatyzaciyu_2019(2)_June22.txt,,,"Навіщо держава веде мову про реприватизацію, якщо у неї немає на це грошей?",Gazeta.ua,https://gazeta.ua/articles/economics/_navischo-derzhava-vede-movu-pro-reprivatizaciyu-yakscho-u-neyi-nemaye-na-ce-groshej/940452,,,,2019,,1735,0,об’єкта - об’єкти; діючої - чинної; за рахунок - коштом; захотять - захочуть,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Gazeta_po-ukrainsky_2010_June22.txt,,,"Учені розповіли, як стати щасливим",Газета по-українськи,https://gazeta.ua/articles/science-life/_ucheni-rozpovili-yak-stati-schaslivim/356378,,Київ,,2010,,539,0,і - й; менше п'яти - менше як п'ять; більше 20 - понад 20;,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Gazeta_po-ukrainsky_2016_June22.txt,Марциновський,Анатолій,Другий термін Порошенка загрожуватиме новим Майданом,Газета по-українськи,https://gazeta.ua/articles/comments-newspaper/_drugij-termin-poroshenka-zagrozhuvatime-novim-majdanom/708581,,Київ,,2016,,438,0,підключиться - приєднається; задіяння - залучення,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Halak_Nevelychka_sotsialna_ale_svoia_oselia.txt,Галак,Костянтин,"Невеличка, соціальна, але своя оселя",Мій дім,http://alumni.krok.edu.ua/images/gallery/01-04_MiyDim6.pdf,6,Київ,,2015,4,728,0,"не часто - нечасто; переважно тих - переважно ті; виключенням - винятком; вирішити цю проблему - розв’язати; як людина - як людини цю проблему; вирішує подібне питання - розв’язує подібне питання; тим паче, - тим паче",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Hliebova_Taiemnytsi_navkolo_komunalnoi_vlasnosti_hromady_Khersona_2020_June22.txt,Глєбова,Вікторія,Таємниці навколо комунальної власності громади Херсона,"Газета ""Вгору""",https://vgoru.org/index.php/rozsliduvannya/nashi-rozsliduvannya/item/55020-taiemnytsi-navkolo-komunalnoi-vlasnosti-hromady-khersona,,,,2020,,975,0,насосні - помпові,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Hliebova_Yak_u_khersonskoi_hromady_kvartyry_kradut_2020_June22.txt,Глєбова,Вікторія,Як у херсонської громади квартири крадуть,"Газета ""Вгору""",https://vgoru.org/index.php/rozsliduvannya/nashi-rozsliduvannya/item/54997-yak-u-khersonskii-hromady-kvartyry-kradut,,,,2020,,733,0,витребувати - домогтися; завідомо - наперед,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Holos_Krymu_Bianov_Ukraina_Lytva_pole_Kulykove_i_radianska_istorychna_pravda_2020_June22.txt,Бянов,Георгій,"Україна, Литва, поле Куликове і радянська історична «правда» 70-х – початку 80-х рр.",Голос Криму,http://voicecrimea.com.ua/main/ukra%d1%97na-litva-pole-kulikove-i-radyanska-istorichna-pravda-70-x-pochatku-80-x-rr.html,,Київ,,2020,,1045,0,"учбової - навчальної; за рідким виключенням - за рідкісним виключенням; вузівські підручники - вишівські підручники; педвузів - педвишів; а із ординцями - а з ординцями; торгівельні - торговельні; Отже тематика - Отже, тематика; у тому числі, в рамках - у тому числі в рамках",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Holos_Krymu_Herasymchuk_U_Haahu_peredaly_podannia_pro_zlochyny_Rosii_v_Krymu_2020_June22.txt,Герасимчук,Ольга,У Гаагу передали подання про злочини Росії в Криму,Голос Криму,http://voicecrimea.com.ua/main/mainnews/u-gaagu-peredali-podannya-pro-zlochini-rosi%d1%97-v-krimu.html,,Київ,,2020,,645,0,"Криму а також - Криму, а також; українського кейсу - українського кейса",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Holos_Krymu_Sprava_shchodo_povernennia_Ukraini_Skifskoho_zolota_2016_June22.txt,,,Справа щодо повернення Україні «Скіфського золота» в грудні… не вирішиться,Голос Криму,http://voicecrimea.com.ua/main/sprava-shhodo-povernennya-ukra%d1%97ni-skifskogo-zolota-v-grudni-ne-virishitsya.html,,Київ,,2016,,296,0,позиціонують - позиціюють; музеї і голландським - музеї та голландським; задіяні - залучені; На сьогоднішній день - Сьогодні,,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Hromadanyn_Ukrayiny_Zakony_shcho_napovnyit_byidzhet_z_kyshen_prostykh_ukrayintsiv_2012_June22.txt,,,"Закони, що наповнюють бюджет з кишень простих українців",Громадянин України,http://gukr.com/article3626.html,,Суми,,2012,,409,0,"фільтру—фільтра; млн.—млн;шт.— шт;тис.— тис ",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Hulyk_Myroslav_Marynovych_Majemo_viryty_v_te_shcho_dyvo_mozhlyve_1_2016.txt,Гулик,Ігор,"Мирослав Маринович: «Маємо вірити в те, що диво можливе...»",Львівська газета,http://www.gazeta.lviv.ua/2016/05/05/miroslav-marinovich-mayemo-viriti-v-te-shho-divo-mozhlive/,,,,2016,,686,0,"тим паче, - тим паче; ",,,,,,,,,,,,,,,,,,,,,
so-so,A,A_Hulyk_Myroslav_Marynovych_Majemo_viryty_v_te_shcho_dyvo_mozhlyve_2_2016.txt,Гулик,Ігор,"Мирослав Маринович: «Маємо вірити в те, що диво можливе…»",Львівська газета,http://www.gazeta.lviv.ua/2016/05/05/miroslav-marinovich-mayemo-viriti-v-te-shho-divo-mozhlive/,,,,2016,,1183,0,у застінках – у катівні,,,,,,,,,,,,,,,,,,,,,
